"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
9.477232540E1,6.507943114E1,2.545211600E1,2.407749155E0,1.990198138E1,1.445832556E0,3.521085340E2,1.774002493E-1,4.739055601E0,3.371333422E0,-1.000000000E0
9.577231681E1,6.507944619E1,2.545211652E1,2.993501030E0,2.048773913E1,1.585600571E0,3.549939919E2,1.786689480E-1,4.739758568E0,3.370345049E0,-1.000000000E0
9.677230918E1,6.507945635E1,2.545210421E1,2.161290143E0,1.965553383E1,1.410373671E0,3.492096864E2,1.804447811E-1,4.739293854E0,3.370998486E0,-1.000000000E0
9.777230072E1,6.507947086E1,2.545208839E1,1.619201053E0,1.911345249E1,1.567316071E0,3.424067726E2,1.818680390E-1,4.742627479E0,3.366306824E0,-1.000000000E0
9.877229321E1,6.507948352E1,2.545209294E1,8.979745684E-1,1.839223042E1,1.315255022E0,3.547694554E2,1.832980082E-1,4.743588551E0,3.364952406E0,-1.000000000E0
9.977228379E1,6.507949638E1,2.545209262E1,1.461463028E0,1.895572400E1,1.388298714E0,3.564589456E2,1.847350442E-1,4.741710929E0,3.367597733E0,-1.000000000E0
1.007722747E2,6.507950928E1,2.545209092E1,2.122462338E0,1.961672862E1,1.352606030E0,3.565439810E2,1.863039089E-1,4.739213869E0,3.371110934E0,-1.000000000E0
1.017722675E2,6.507952332E1,2.545208769E1,2.164774006E0,1.965904625E1,1.583746393E0,3.528028549E2,1.875068733E-1,4.737194024E0,3.373948697E0,-1.000000000E0
1.027722586E2,6.507953414E1,2.545208691E1,2.098082304E0,1.959235891E1,1.445208337E0,3.566067394E2,1.887695834E-1,4.734777110E0,3.377339597E0,-1.000000000E0
1.037722507E2,6.507954489E1,2.545209558E1,2.659700205E0,2.015397995E1,1.377531957E0,9.100550087E0,1.904600752E-1,4.742194785E0,3.366916342E0,-1.000000000E0
1.047722417E2,6.507956007E1,2.545209358E1,2.724198537E0,2.021848453E1,1.504604798E0,3.806911204E0,1.922055823E-1,4.743210622E0,3.365485111E0,-1.000000000E0
1.057722336E2,6.507957515E1,2.545208327E1,2.493310196E0,1.998760346E1,1.431138473E0,3.556885008E2,1.938198835E-1,4.737987219E0,3.372834735E0,-1.000000000E0
1.067722253E2,6.507958925E1,2.545207507E1,2.438298916E0,1.993259880E1,1.374124548E0,3.516816788E2,1.957354156E-1,4.740220582E0,3.369695219E0,-1.000000000E0
1.077722164E2,6.507960648E1,2.545207532E1,2.593837625E0,2.008814428E1,1.452719051E0,3.554031479E2,1.973697714E-1,4.739304003E0,3.370984219E0,-1.000000000E0
1.087722087E2,6.507962106E1,2.545207976E1,2.748300643E0,2.024261248E1,1.498710248E0,7.757069517E-1,1.987697595E-1,4.739785024E0,3.370307844E0,-1.000000000E0
1.097721999E2,6.507963361E1,2.545207744E1,2.915786978E0,2.041010407E1,1.400008633E0,3.586832153E2,1.997610962E-1,4.737408245E0,3.373647901E0,-1.000000000E0
1.107721909E2,6.507964229E1,2.545207264E1,3.182677736E0,2.067699887E1,1.307539075E0,3.547123526E2,2.016773294E-1,4.737275189E0,3.373834734E0,-1.000000000E0
1.117721828E2,6.507965914E1,2.545208126E1,3.717332801E0,2.121165949E1,1.499922525E0,3.869127719E-1,2.031671266E-1,4.740766227E0,3.368927517E0,-1.000000000E0
