"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.815949167E0,7.244185638E0,2.012564850E0,1.265288818E1,1.471815961E1
1.825945167E0,7.069947968E0,2.363435211E0,1.314311874E1,1.510998215E1
1.835941167E0,7.066804504E0,2.577190704E0,1.331870361E1,1.529606171E1
1.845938167E0,7.002138977E0,2.626587982E0,1.322439972E1,1.519255287E1
1.855934167E0,6.797364807E0,2.780917053E0,1.272728348E1,1.469426462E1
1.865930167E0,6.561904449E0,2.987337799E0,1.203736816E1,1.403142934E1
1.875926167E0,6.349645844E0,3.140619049E0,1.111049561E1,1.317666889E1
1.885923167E0,6.148015137E0,3.432512054E0,9.880503387E0,1.213278930E1
1.895919167E0,5.898034973E0,3.636837158E0,8.929081879E0,1.130229642E1
1.905915167E0,5.475014648E0,3.563789062E0,8.345295868E0,1.059812913E1
1.915912167E0,4.941374359E0,3.356320496E0,8.097561035E0,1.006243323E1
1.925908167E0,4.187991028E0,3.022664337E0,8.174950104E0,9.669828217E0
1.935904167E0,3.187920685E0,2.815644836E0,8.560847626E0,9.559226235E0
1.945901167E0,2.527643738E0,2.913840637E0,9.128317566E0,9.909875464E0
1.955897167E0,2.672841797E0,3.021466827E0,9.849517822E0,1.064360589E1
1.965893167E0,2.722688141E0,3.077151031E0,1.013123199E1,1.093269184E1
1.975889167E0,2.854114838E0,3.271297302E0,9.854906616E0,1.076877625E1
1.985886167E0,3.398083649E0,3.812122650E0,8.933572540E0,1.029018804E1
1.995882167E0,2.916235657E0,4.412973175E0,8.750652924E0,1.022510094E1
2.005878167E0,2.291285248E0,4.978646851E0,8.896599426E0,1.044922934E1
2.015875167E0,1.966909790E0,5.289400635E0,8.885073395E0,1.052573144E1
2.025871167E0,1.546134796E0,5.177732849E0,8.889564056E0,1.040306683E1
2.035867167E0,1.442250824E0,5.020260315E0,8.801846466E0,1.023501843E1
2.045863167E0,1.148411865E0,4.956642609E0,8.674311676E0,1.005638299E1
2.055860167E0,6.451583862E-1,5.346282349E0,8.033943329E0,9.671773866E0
2.065856167E0,3.600013733E-1,6.497687988E0,6.961573334E0,9.529588315E0
2.075852167E0,3.420387268E-1,7.489375763E0,5.817053375E0,9.489249168E0
2.085849167E0,1.148112488E-1,8.610544281E0,5.026098175E0,9.970773155E0
2.095845167E0,-3.588038635E-1,9.856852570E0,5.001399536E0,1.105894571E1
2.105841167E0,-7.699987793E-1,1.060933777E1,5.222938843E0,1.185031798E1
2.115838167E0,-8.586145020E-1,1.134071686E1,5.477409668E0,1.262343433E1
2.125834167E0,-5.053491211E-1,1.210382996E1,5.286706238E0,1.321769043E1
2.135830167E0,2.948867798E-2,1.266426453E1,4.833149414E0,1.355521298E1
2.145826167E0,6.724017334E-1,1.271006927E1,4.357139282E0,1.345297914E1
2.155823167E0,1.496138763E0,1.251218079E1,4.127067719E0,1.325993164E1
2.165819167E0,2.258503418E0,1.238584351E1,4.237987061E0,1.328421964E1
2.175815167E0,2.737507324E0,1.234527786E1,4.737049255E0,1.350331320E1
