"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.323848208E0,2.241348857E-1,6.203112280E-1,-3.727936193E0,3.785832898E0
1.333838208E0,1.172925440E0,2.327823329E-1,-2.998876110E0,3.228498044E0
1.343828208E0,2.484952924E0,4.034783453E-2,-2.194647730E0,3.315584057E0
1.353818208E0,3.185925615E0,2.736641644E-1,-3.228393942E-1,3.213913405E0
1.363809208E0,3.745856448E0,4.502658646E-1,7.185988301E-1,3.840646320E0
1.373799208E0,3.616151171E0,6.362779275E-1,1.411923655E0,3.933818412E0
1.383789208E0,3.073836537E0,6.798791528E-1,1.893581028E0,3.673738672E0
1.393779208E0,2.547965151E0,5.396861641E-1,2.102121974E0,3.346984368E0
1.403769208E0,1.764548181E0,3.450839567E-1,2.048097210E0,2.725328494E0
1.413760208E0,1.256366377E0,8.229532108E-2,2.153593844E0,2.494633327E0
1.423750208E0,1.466724345E0,-2.848751041E-1,3.148840234E0,3.485344883E0
1.433740208E0,1.738653787E0,-7.432326380E-1,3.490057427E0,3.969359217E0
1.443730208E0,1.782414056E0,-1.302331046E0,3.344565253E0,4.007391016E0
1.453721208E0,1.867465024E0,-1.227217129E0,4.293459595E0,4.840173839E0
1.463711208E0,2.344169220E0,-7.260267674E-1,5.172691380E0,5.725293033E0
1.473701208E0,2.870167491E0,-1.351681839E-1,4.968327684E0,5.739373820E0
1.483691208E0,2.956212193E0,-1.833773806E-1,4.834615311E0,5.669772747E0
1.493681208E0,2.257532780E0,-8.124964888E-1,3.905595655E0,4.583697440E0
1.503672208E0,1.413882473E0,-1.274747099E0,2.723134283E0,3.322574926E0
1.513662208E0,9.866562456E-1,-1.332224498E0,1.592340664E0,2.298665145E0
1.523652208E0,8.697715741E-1,-8.884571557E-1,8.861233127E-1,1.526785261E0
1.533642208E0,9.900119627E-1,-1.156961518E-1,3.312494445E-1,1.050350170E0
1.543632208E0,1.549832575E0,3.979499125E-1,-7.318141222E-2,1.601780467E0
1.553623208E0,1.728778132E0,2.916714690E-1,2.486937761E-2,1.753386598E0
1.563613208E0,1.522773123E0,-2.845169256E-1,4.746798903E-1,1.620218770E0
1.573603208E0,1.012378732E0,-9.587384952E-1,8.619070691E-1,1.639199193E0
1.583593208E0,3.524415082E-1,-1.440503237E0,1.109212132E0,1.851922284E0
1.593584208E0,-6.068506452E-1,-1.720733533E0,9.632597816E-1,2.063264647E0
1.603574208E0,-1.375607768E0,-1.699511356E0,6.929441714E-1,2.293644961E0
1.613564208E0,-1.783557187E0,-1.514747966E0,3.739721256E-1,2.369682002E0
1.623554208E0,-2.026920934E0,-1.208186928E0,-3.333070797E-1,2.383110936E0
1.633544208E0,-1.908023651E0,-7.701879367E-1,-1.064948124E0,2.316863875E0
1.643535208E0,-1.621312155E0,-4.557972940E-1,-2.415817493E0,2.944924182E0
1.653525208E0,-1.387571172E0,-3.442328945E-2,-3.619187922E0,3.876217220E0
1.663515208E0,-8.558028683E-1,2.601576810E-1,-4.495047618E0,4.583179426E0
1.673505208E0,-2.295336199E-1,4.289739231E-1,-4.949589697E0,4.973443724E0
1.683495208E0,1.858613509E-1,3.895001377E-1,-5.324247701E0,5.341710249E0
